row_index,slippage_pred,fee_pred,impact_pred,net_cost,prob_taker,latency_ms
131,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002051000137726078
132,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0021099999685247894
133,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002169000254070852
134,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0021400001060101204
135,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0021920000108366366
136,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002171999767597299
137,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0022509998416353483
138,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0024689998099347576
139,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002095999661833048
140,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002162999862775905
141,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0022150002223497722
142,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002097000106004998
143,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002166000285797054
144,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002156999926228309
145,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.0024119999579852447
146,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002362000032007927
147,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002246999883936951
148,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002303999735886464
149,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002272000074299285
150,0.0,0.125,9.457160306339046e-13,0.12500000000094572,0.5,0.002080999820464058
